datetime,area,node,consumer_type,gross_demand_mw,solar_generation_mw,net_demand_mw,available_capacity_mw
2025-09-03 00:00:00,Northern_Region,Delhi,mixed,921.017,0.0,921.017,1159.0
2025-09-03 00:00:00,Northern_Region,Haryana,industrial_medium,608.191,0.0,608.191,765.165
2025-09-03 00:00:00,Northern_Region,Punjab,agricultural,523.597,0.0,523.597,659.644
2025-09-03 00:00:00,Northern_Region,UP_West,mixed,373.277,0.0,373.277,468.967
2025-09-03 00:00:00,Western_Region,Mumbai,commercial,1098.277,0.0,1098.277,1384.166
2025-09-03 00:00:00,Western_Region,Gujarat_Industrial,industrial_large,863.064,0.0,863.064,1087.715
2025-09-03 00:00:00,Western_Region,Rajasthan,mixed,665.501,0.0,665.501,837.792
2025-09-03 00:00:00,Southern_Region,Tamil_Nadu,industrial_medium,843.966,0.0,843.966,1065.879
2025-09-03 00:00:00,Southern_Region,Karnataka,mixed,752.209,0.0,752.209,948.856
2025-09-03 00:00:00,Southern_Region,Andhra_Pradesh,agricultural,538.736,0.0,538.736,679.459
2025-09-03 00:00:00,Eastern_Region,West_Bengal,mixed,822.886,0.0,822.886,1034.005
2025-09-03 00:00:00,Eastern_Region,Odisha_Industrial,industrial_large,618.442,0.0,618.442,778.762
2025-09-03 00:00:00,Eastern_Region,Bihar,residential,347.999,0.0,347.999,438.638
2025-09-03 01:00:00,Northern_Region,Delhi,mixed,883.543,0.0,883.543,1114.781
2025-09-03 01:00:00,Northern_Region,Haryana,industrial_medium,589.513,0.0,589.513,743.125
2025-09-03 01:00:00,Northern_Region,Punjab,agricultural,518.757,0.0,518.757,653.934
2025-09-03 01:00:00,Northern_Region,UP_West,mixed,358.979,0.0,358.979,452.095
2025-09-03 01:00:00,Western_Region,Mumbai,commercial,1134.173,0.0,1134.173,1426.524
2025-09-03 01:00:00,Western_Region,Gujarat_Industrial,industrial_large,877.739,0.0,877.739,1105.032
2025-09-03 01:00:00,Western_Region,Rajasthan,mixed,639.535,0.0,639.535,807.151
2025-09-03 01:00:00,Southern_Region,Tamil_Nadu,industrial_medium,898.283,0.0,898.283,1129.974
2025-09-03 01:00:00,Southern_Region,Karnataka,mixed,769.519,0.0,769.519,969.282
2025-09-03 01:00:00,Southern_Region,Andhra_Pradesh,agricultural,530.874,0.0,530.874,670.181
2025-09-03 01:00:00,Eastern_Region,West_Bengal,mixed,784.659,0.0,784.659,988.897
2025-09-03 01:00:00,Eastern_Region,Odisha_Industrial,industrial_large,622.704,0.0,622.704,783.79
2025-09-03 01:00:00,Eastern_Region,Bihar,residential,355.658,0.0,355.658,447.677
2025-09-03 02:00:00,Northern_Region,Delhi,mixed,894.325,0.0,894.325,1127.503
2025-09-03 02:00:00,Northern_Region,Haryana,industrial_medium,613.926,0.0,613.926,771.933
