datetime,gross_demand_mw,solar_generation_mw,net_demand_mw,available_capacity_mw,temperature,humidity,precipitation,wind_speed,cloud_cover,solar_radiation,direct_radiation,feels_like
2025-09-03 00:00:00,8977.162,0.0,8977.162,11308.048,24.8,96,0.0,10.4,100,0.0,0.0,29.4
2025-09-03 01:00:00,8963.936,0.0,8963.936,11292.443,24.5,96,0.0,9.4,86,0.0,0.0,29.2
2025-09-03 02:00:00,8946.918,0.0,8946.918,11272.364,24.3,97,0.0,8.1,44,0.0,0.0,29.1
2025-09-03 03:00:00,8991.743,0.0,8991.743,11325.255,24.2,97,0.0,9.3,35,0.0,0.0,28.8
2025-09-03 04:00:00,9073.648,0.0,9073.648,11421.904999999999,24.1,98,0.0,9.6,65,0.0,0.0,28.6
2025-09-03 05:00:00,14876.337,0.0,14876.337,18269.077,24.1,98,0.0,6.0,98,0.0,0.0,29.1
2025-09-03 06:00:00,16904.968,0.0,16904.968,20662.859,24.1,96,8.3,6.6,100,3.0,0.0,28.8
2025-09-03 07:00:00,16737.277,304.687,16432.592,20464.987,24.8,95,1.9,5.5,99,35.0,3.0,30.0
2025-09-03 08:00:00,16850.484,606.664,16243.819,20598.57,25.4,93,0.3,2.5,98,95.0,5.0,31.2
2025-09-03 09:00:00,16853.698,857.248,15996.453,20602.365,26.6,88,0.1,4.5,97,191.0,23.0,32.4
2025-09-03 10:00:00,16833.468,972.655,15860.813,20578.492,27.8,86,0.1,1.0,100,383.0,133.0,34.5
2025-09-03 11:00:00,15120.753,1021.91,14098.842,18557.487,29.2,81,0.1,5.4,100,673.0,370.0,36.3
2025-09-03 12:00:00,15123.457,1084.292,14039.166000000001,18560.681,29.4,76,0.7,9.1,100,606.0,280.0,34.9
2025-09-03 13:00:00,14976.77,991.16,13985.61,18387.587,27.9,82,0.4,10.4,100,348.0,46.0,32.8
2025-09-03 14:00:00,15221.18,917.959,14303.217999999999,18675.990999999998,28.4,79,0.2,9.8,99,315.0,92.0,33.3
2025-09-03 15:00:00,14825.954,757.877,14068.074,18209.624,28.8,78,0.5,9.2,100,428.0,182.0,33.9
2025-09-03 16:00:00,15166.705,531.234,14635.475,18611.713,28.4,80,0.1,9.7,100,274.0,73.0,33.5
2025-09-03 17:00:00,14857.466,265.879,14591.585000000001,18246.807,28.0,83,0.0,9.2,100,165.0,33.0,33.2
2025-09-03 18:00:00,19896.504,0.0,19896.504,24192.874,26.2,86,0.0,9.5,100,12.0,0.0,30.7
